ticker,date,open,high,low,close,volume,volume_pln
KGH.WA,2024-07-18,146.25,146.7,141.75,142.25,742761,105657752.25
KGH.WA,2024-07-19,139,139.75,133.1,137.4,1101513,151347886.2
KGH.WA,2024-07-22,137.15,137.4,133,133.75,852039,113960216.25
KGH.WA,2024-07-23,132.7,132.7,129.3,130.5,1234124,161053182
KGH.WA,2024-07-24,130.3,133,129.2,130.65,958813,125268918.45
KGH.WA,2024-07-25,127,131.85,126.3,131.5,1116035,146758602.5
KGH.WA,2024-07-26,132.45,132.85,130.35,131.3,694466,91183385.8
KGH.WA,2024-07-29,132.85,134.1,130.6,131.85,720845,95043413.25
KGH.WA,2024-07-30,133,133,129.9,130.15,506009,65857071.35
KGH.WA,2024-07-31,133.7,136.3,132.95,136.1,1378896,187667745.6
KGH.WA,2024-08-01,137,137,132.2,132.2,439151,58055762.2
KGH.WA,2024-08-02,130.5,132.9,129.7,130.5,720805,94065052.5
KGH.WA,2024-08-05,122,126.75,121.05,124.1,1781743,221114306.3
KGH.WA,2024-08-06,126,127,123,124,1048977,130073148
KGH.WA,2024-08-07,125,125,122.85,124.1,475604,59022456.4
KGH.WA,2024-08-08,123.15,124.1,120.4,123.9,405157,50198952.3
KGH.WA,2024-08-09,125.95,126.8,122.4,122.95,475733,58491372.35
KGH.WA,2024-08-12,124.45,126.75,124.2,126.7,401844,50913634.8
KGH.WA,2024-08-13,126.1,126.4,124.1,124.85,529954,66164756.9
KGH.WA,2024-08-14,129.5,129.5,124.5,125.3,1286919,161250950.7
KGH.WA,2024-08-16,129,136.8,128.55,136.8,1551458,212239454.4
KGH.WA,2024-08-19,136.9,139.4,135.7,138.95,554192,77004978.4
KGH.WA,2024-08-20,139.6,140.55,137.5,138.2,519015,71727873
KGH.WA,2024-08-21,138.55,141.5,138.3,139.85,549175,76802123.75
KGH.WA,2024-08-22,140,140.5,135.55,136.9,434969,59547256.1
KGH.WA,2024-08-23,137.5,139.9,137.1,138.65,400497,55528909.05
KGH.WA,2024-08-26,141,142.8,139.35,140,432093,60493020
KGH.WA,2024-08-27,140.25,142.45,139.25,142.1,454278,64552903.8
KGH.WA,2024-08-28,140,140.3,136.55,136.85,654481,89565724.85
KGH.WA,2024-08-29,137.75,138.95,134.8,136.9,481922,65975121.8
KGH.WA,2024-08-30,138.2,139.4,137.55,138.8,825937,114640055.6
KGH.WA,2024-09-02,136.5,139.2,135.4,138.95,334959,46542553.05
KGH.WA,2024-09-03,137.6,137.8,131.15,131.4,844147,110920915.8
